script,font_1,font_2,cosine_similarity,cosine_distance
Katakana,MPLUS1p-Bold,BIZUDPGothic-Regular,0.9584,0.0416
Katakana,ShipporiAntiqueB1-Regular,BatangChe-Regular,0.9584,0.0416
Katakana,ZenKakuGothicNew-Light,ZenKurenaido-Regular,0.9584,0.0416
Katakana,ZenKakuGothicAntique-Medium,RocknRollOne-Regular,0.9583,0.0417
Katakana,IBMPlexSansJP-Regular,ChironGoRoundTC[wght],0.9582,0.0418
Katakana,MPLUS1p-Medium,LINESeedJP-ExtraBold,0.9582,0.0418
Katakana,GulimChe-Regular,GothicA1-Light,0.9581,0.0419
Katakana,LXGWWenKaiTC-Light,ZenOldMincho-Medium,0.9581,0.0419
Katakana,ZenOldMincho-Medium,LXGWWenKaiMonoTC-Light,0.9581,0.0419
Katakana,DotumChe-Regular,GothicA1-Regular,0.9581,0.0419
Katakana,GothicA1-Regular,Dotum-Regular,0.9581,0.0419
Katakana,Gulim-Regular,GothicA1-Light,0.9581,0.0419
Katakana,KaiseiOpti-Medium,ZenKakuGothicNew-Medium,0.958,0.042
Katakana,LINESeedJP-Bold,RocknRollOne-Regular,0.958,0.042
Katakana,ZenOldMincho-Black,BatangChe-Regular,0.9579,0.0421
Katakana,ChironGoRoundTC[wght],Yomogi-Regular,0.9579,0.0421
Katakana,MPLUS1p-Medium,TrainOne-Regular,0.9579,0.0421
Katakana,KaiseiOpti-Bold,ZenKakuGothicNew-Medium,0.9578,0.0422
Katakana,ChocolateClassicalSans-Regular,RoundedMplus1c-Regular,0.9577,0.0423
Katakana,ChocolateClassicalSans-Regular,MPLUSRounded1c-Regular,0.9577,0.0423
Katakana,KleeOne-Regular,ShipporiMincho-Regular,0.9577,0.0423
Katakana,NanumGothicCoding-Regular,GothicA1-Light,0.9576,0.0424
Katakana,MPLUS1p-Medium,ChocolateClassicalSans-Regular,0.9573,0.0427
Katakana,ShipporiMincho-Regular,LXGWWenKaiMonoTC-Light,0.9572,0.0428
Katakana,IBMPlexSansJP-Bold,GothicA1-Bold,0.9572,0.0428
Katakana,ChironGoRoundTC[wght],BIZUDPGothic-Regular,0.9572,0.0428
Katakana,ShipporiMincho-Regular,LXGWWenKaiTC-Light,0.9572,0.0428
Katakana,RoundedMplus1c-Bold,MPLUS1p-Black,0.9571,0.0429
Katakana,ZenKakuGothicAntique-Medium,BIZUDGothic-Bold,0.9571,0.0429
Katakana,ZenOldMincho-Black,BIZUDPMincho-Bold,0.957,0.043
Katakana,KiwiMaru-Regular,ZenMaruGothic-Bold,0.9569,0.0431
Katakana,RoundedMplus1c-ExtraBold,MPLUSRounded1c-Regular,0.9568,0.0432
Katakana,RoundedMplus1c-Regular,RoundedMplus1c-ExtraBold,0.9568,0.0432
Katakana,LINESeedJP-Bold,BIZUDPGothic-Regular,0.9568,0.0432
Katakana,ZenKakuGothicAntique-Medium,IBMPlexSansJP-SemiBold,0.9567,0.0433
Katakana,MPLUS1p-Medium,RoundedMplus1c-Light,0.9567,0.0433
Katakana,MPLUS1p-Medium,MPLUSRounded1c-Light,0.9567,0.0433
Katakana,DotumChe-Regular,ZenKakuGothicNew-Medium,0.9565,0.0435
Katakana,Dotum-Regular,ZenKakuGothicNew-Medium,0.9565,0.0435
Katakana,RocknRollOne-Regular,LINESeedJP-Regular,0.9564,0.0436
Katakana,NotoSerifKR[wght],ChironSungHK-Italic[wght],0.9564,0.0436
Katakana,NotoSerifJP[wght],ChironSungHK-Italic[wght],0.9564,0.0436
Katakana,NotoSerifHK[wght],ChironSungHK-Italic[wght],0.9564,0.0436
Katakana,KaiseiOpti-Bold,KaiseiDecol-Bold,0.9564,0.0436
Katakana,ZenOldMincho-Medium,NewTegomin-Regular,0.9563,0.0437
Katakana,KleeOne-SemiBold,ZenOldMincho-Black,0.9563,0.0437
