script,font_1,font_2,cosine_similarity,cosine_distance
Cyrillic,"OpenSans[wdth,wght]",Gidole-Regular,0.9711,0.0289
Cyrillic,BIZUDPMincho-Regular,KaiseiTokumin-ExtraBold,0.9709,0.0291
Cyrillic,RubikStorm-Regular,RubikDirt-Regular,0.9708,0.0292
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]","TikTokSans[opsz,slnt,wdth,wght]",0.9706,0.0294
Cyrillic,Gidole-Regular,WDXLLubrifontSC-Regular,0.9704,0.0296
Cyrillic,SpectralSC-ExtraBoldItalic,"SourceSerif4-Italic[opsz,wght]",0.9704,0.0296
Cyrillic,MPLUS1p-Bold,JejuGothic-Regular,0.9704,0.0296
Cyrillic,IosevkaCharon-MediumItalic,CascadiaMono-Italic[wght],0.9704,0.0296
Cyrillic,MPLUS1p-Medium,JejuGothic-Regular,0.9701,0.0299
Cyrillic,Manrope[wght],Ubuntu-Regular,0.9701,0.0299
Cyrillic,RobotoCondensed[wght],WDXLLubrifontSC-Regular,0.97,0.03
Cyrillic,Gidole-Regular,ZenKakuGothicAntique-Regular,0.97,0.03
Cyrillic,Play-Bold,AlegreyaSans-ExtraBold,0.9699,0.0301
Cyrillic,ZenKakuGothicAntique-Regular,Manrope[wght],0.9699,0.0301
Cyrillic,KaiseiOpti-Bold,BIZUDPMincho-Regular,0.9699,0.0301
Cyrillic,"OpenSans[wdth,wght]",Sansation-Light,0.9698,0.0302
Cyrillic,MPLUS1p-Medium,Manrope[wght],0.9697,0.0303
Cyrillic,"OpenSans[wdth,wght]",RobotoCondensed[wght],0.9697,0.0303
Cyrillic,OrelegaOne-Regular,PodkovaVFBeta,0.9697,0.0303
Cyrillic,MPLUS1p-Medium,ZenKakuGothicAntique-Regular,0.9697,0.0303
Cyrillic,Ubuntu-Light,JejuGothic-Regular,0.9697,0.0303
Cyrillic,Arsenal-Italic,AlegreyaSans-LightItalic,0.9697,0.0303
Cyrillic,Alegreya-Italic[wght],"SourceSerif4-Italic[opsz,wght]",0.9695,0.0305
Cyrillic,"NotoSansMono[wdth,wght]",IosevkaCharonMono-Bold,0.9695,0.0305
Cyrillic,FiraSansExtraCondensed-Medium,IosevkaCharonMono-Bold,0.9693,0.0307
Cyrillic,IosevkaCharon-MediumItalic,IBMPlexMono-SemiBoldItalic,0.9692,0.0308
Cyrillic,"TikTokSans[opsz,slnt,wdth,wght]",ZenKakuGothicAntique-Regular,0.9692,0.0308
Cyrillic,Philosopher-BoldItalic,SpectralSC-ExtraBoldItalic,0.9692,0.0308
Cyrillic,MPLUS1p-Medium,RobotoCondensed[wght],0.9692,0.0308
Cyrillic,ComicRelief-Regular,WDXLLubrifontSC-Regular,0.9692,0.0308
Cyrillic,MPLUS1p-Medium,FiraSansCondensed-Black,0.9691,0.0309
Cyrillic,RobotoCondensed[wght],NotoSansTC[wght],0.9691,0.0309
Cyrillic,LXGWWenKaiMonoTC-Bold,WDXLLubrifontSC-Regular,0.9691,0.0309
Cyrillic,FiraSansExtraCondensed-Medium,IosevkaCharon-Light,0.969,0.031
Cyrillic,RocknRollOne-Regular,GothicA1-Black,0.9688,0.0312
Cyrillic,RocknRollOne-Regular,MPLUS1p-Medium,0.9688,0.0312
Cyrillic,FiraSans-Black,Ubuntu-Regular,0.9686,0.0314
Cyrillic,RobotoCondensed[wght],ZenKakuGothicAntique-Regular,0.9685,0.0315
Cyrillic,MPLUS1p-Thin,Manrope[wght],0.9684,0.0316
Cyrillic,MontserratAlternates-Bold,FiraSans-Black,0.9684,0.0316
Cyrillic,MPLUS1p-Medium,GothicA1-Black,0.9683,0.0317
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",ZenKakuGothicAntique-Regular,0.968,0.032
Cyrillic,IstokWeb-Italic,Ubuntu-LightItalic,0.9679,0.0321
Cyrillic,MPLUS1p-Bold,RoundedMplus1c-ExtraBold,0.9678,0.0322
Cyrillic,MPLUS1p-Medium,Gidole-Regular,0.9676,0.0324
Cyrillic,FiraSansExtraCondensed-Medium,WDXLLubrifontSC-Regular,0.9676,0.0324
Cyrillic,AlegreyaSC-BlackItalic,Tinos-BoldItalic,0.9675,0.0325
Cyrillic,PT_Serif-Web-Italic,Philosopher-BoldItalic,0.9674,0.0326
Cyrillic,RobotoCondensed[wght],IosevkaCharonMono-Bold,0.9674,0.0326
Cyrillic,NanumGothicCoding-Regular,MPLUS1p-Medium,0.9674,0.0326
Cyrillic,Cuprum[wght],NotoSansTC[wght],0.9673,0.0327
Cyrillic,PlayfairDisplaySC-Black,ZenOldMincho-Black,0.9673,0.0327
Cyrillic,AlegreyaSans-ExtraBoldItalic,AlegreyaSansSC-Black,0.9673,0.0327
Cyrillic,MPLUS1p-Bold,Play-Bold,0.9672,0.0328
Cyrillic,Cuprum[wght],IosevkaCharonMono-Bold,0.9672,0.0328
Cyrillic,MPLUS1p-Medium,ComicRelief-Regular,0.9668,0.0332
