script,font_1,font_2,cosine_similarity,cosine_distance
Telugu,Dhurjati-Regular,Timmana-Regular,0.8735,0.1265
Telugu,Peddana-Regular,Ramabhadra-Regular,0.8734,0.1266
Telugu,AkayaTelivigala-Regular,HindGuntur-Light,0.873,0.127
Telugu,Ramabhadra-Regular,TenaliRamakrishna-Regular,0.8728,0.1272
Telugu,Gidugu-Regular,TenaliRamakrishna-Regular,0.8726,0.1274
Telugu,HindGuntur-Medium,TenaliRamakrishna-Regular,0.8702,0.1298
Telugu,Gidugu-Regular,Timmana-Regular,0.8696,0.1304
Telugu,HindGuntur-Medium,SreeKrushnadevaraya-Regular,0.8691,0.1309
Telugu,RaviPrakash-Regular,Suranna-Regular,0.8686,0.1314
Telugu,NTR-Regular,Timmana-Regular,0.8685,0.1315
Telugu,"AnekTelugu[wdth,wght]",NTR-Regular,0.868,0.132
Telugu,HindGuntur-Bold,Peddana-Regular,0.8678,0.1322
Telugu,"AnekTelugu[wdth,wght]",Ramaraja-Regular,0.8677,0.1323
Telugu,Mallanna-Regular,Mandali-Regular,0.8659,0.1341
Telugu,TenaliRamakrishna-Regular,TiroTelugu-Italic,0.8655,0.1345
Telugu,HindGuntur-Bold,Mandali-Regular,0.8654,0.1346
Telugu,HindGuntur-Bold,NTR-Regular,0.8647,0.1353
Telugu,AkayaTelivigala-Regular,Mandali-Regular,0.8638,0.1362
Telugu,Mandali-Regular,TiroTelugu-Italic,0.8637,0.1363
Telugu,Suravaram-Regular,Timmana-Regular,0.8636,0.1364
Telugu,HindGuntur-Light,Suranna-Regular,0.8636,0.1364
Telugu,AkayaTelivigala-Regular,HindGuntur-Medium,0.8636,0.1364
Telugu,HindGuntur-SemiBold,TenaliRamakrishna-Regular,0.8635,0.1365
Telugu,Dhurjati-Regular,SreeKrushnadevaraya-Regular,0.8634,0.1366
Telugu,HindGuntur-SemiBold,SreeKrushnadevaraya-Regular,0.8629,0.1371
Telugu,HindGuntur-Regular,Timmana-Regular,0.8625,0.1375
Telugu,HindGuntur-Medium,Timmana-Regular,0.8622,0.1378
Telugu,BalooTammudu2[wght],NTR-Regular,0.8619,0.1381
Telugu,Sirivennela-Regular,Suranna-Regular,0.8617,0.1383
Telugu,"AnekTelugu[wdth,wght]",TenaliRamakrishna-Regular,0.8612,0.1388
Telugu,AkayaTelivigala-Regular,TiroTelugu-Italic,0.8608,0.1392
Telugu,Gurajada-Regular,Ramaraja-Regular,0.8603,0.1397
Telugu,AkayaTelivigala-Regular,HindGuntur-Regular,0.86,0.14
Telugu,BalooTammudu2[wght],Ramaraja-Regular,0.8595,0.1405
Telugu,HindGuntur-Bold,Ramaraja-Regular,0.8593,0.1407
Telugu,Ponnala-Regular,Ramabhadra-Regular,0.8587,0.1413
Telugu,AkayaTelivigala-Regular,Suravaram-Regular,0.8585,0.1415
Telugu,"AnekTelugu[wdth,wght]",SreeKrushnadevaraya-Regular,0.8582,0.1418
Telugu,NTR-Regular,Suranna-Regular,0.8575,0.1425
Telugu,Dhurjati-Regular,Gurajada-Regular,0.857,0.143
Telugu,NTR-Regular,TiroTelugu-Italic,0.857,0.143
Telugu,Chathura-Bold,Sirivennela-Regular,0.8567,0.1433
Telugu,AkayaTelivigala-Regular,NotoSerifTelugu[wght],0.8566,0.1434
Telugu,HindGuntur-Regular,Suranna-Regular,0.8566,0.1434
Telugu,Chathura-Thin,Sirivennela-Regular,0.8566,0.1434
Telugu,RaviPrakash-Regular,SreeKrushnadevaraya-Regular,0.8563,0.1437
Telugu,LakkiReddy-Regular,Suranna-Regular,0.856,0.144
Telugu,"NotoSansTelugu[wdth,wght]",Suravaram-Regular,0.8557,0.1443
Telugu,Gurajada-Regular,Peddana-Regular,0.8557,0.1443
Telugu,Chathura-ExtraBold,Sirivennela-Regular,0.8556,0.1444
Telugu,"NotoSansTeluguUI[wdth,wght]",Suravaram-Regular,0.8555,0.1445
Telugu,AkayaTelivigala-Regular,HindGuntur-SemiBold,0.8553,0.1447
