script,font_1,font_2,cosine_similarity,cosine_distance
Arabic,Zain-Bold,Tajawal-Regular,0.9378,0.0622
Arabic,Tajawal-Medium,Almarai-Bold,0.9377,0.0623
Arabic,Rakkas-Regular,ArefRuqaaInk-Bold,0.9376,0.0624
Arabic,Rakkas-Regular,ArefRuqaa-Bold,0.9376,0.0624
Arabic,IBMPlexSansArabic-Regular,Zain-Italic,0.9375,0.0625
Arabic,Harmattan-Medium,Parastoo[wght],0.9374,0.0626
Arabic,PlaypenSansArabic[wght],Tajawal-ExtraBold,0.9374,0.0626
Arabic,MarkaziText-VF,Lalezar-Regular,0.9373,0.0627
Arabic,NotoNaskhArabicUI[wght],Mirza-Medium,0.9373,0.0627
Arabic,Zain-LightItalic,IBMPlexSansArabic-Regular,0.9371,0.0629
Arabic,MarkaziText[wght],Lalezar-Regular,0.937,0.063
Arabic,BonaNovaSC-Italic,IBMPlexSansArabic-ExtraLight,0.9369,0.0631
Arabic,AmiriQuran-Regular,BonaNova-Italic,0.9369,0.0631
Arabic,BonaNova-Italic,IBMPlexSansArabic-ExtraLight,0.9369,0.0631
Arabic,AmiriQuran-Regular,BonaNovaSC-Italic,0.9369,0.0631
Arabic,"NotoSansArabicUI[wdth,wght]",Amiri-Bold,0.9368,0.0632
Arabic,Zain-Bold,Zain-Italic,0.9367,0.0633
Arabic,Amiri-BoldItalic,BonaNova-Regular,0.9367,0.0633
Arabic,Amiri-BoldItalic,BonaNovaSC-Regular,0.9367,0.0633
Arabic,NotoNaskhArabic[wght],Amiri-Bold,0.9366,0.0634
Arabic,BonaNovaSC-Bold,PlaypenSansArabic[wght],0.9366,0.0634
Arabic,Harmattan-Regular,Parastoo[wght],0.9366,0.0634
Arabic,Almarai-Bold,Tajawal-Regular,0.9365,0.0635
Arabic,Tajawal-Light,Alyamama[wght],0.9365,0.0635
Arabic,Amiri-Regular,BonaNovaSC-Italic,0.9363,0.0637
Arabic,Almarai-Bold,Tajawal-ExtraBold,0.9363,0.0637
Arabic,Amiri-Regular,BonaNova-Italic,0.9363,0.0637
Arabic,BalooBhaijaan2[wght],Tajawal-ExtraBold,0.9362,0.0638
Arabic,BonaNova-Italic,Vazirmatn[wght],0.936,0.064
Arabic,PlaypenSansArabic[wght],"NotoSansArabic[wdth,wght]",0.936,0.064
Arabic,Almarai-Bold,IBMPlexSansArabic-Regular,0.936,0.064
Arabic,BonaNovaSC-Italic,Vazirmatn[wght],0.936,0.064
Arabic,CascadiaMono[wght],Vazirmatn[wght],0.9359,0.0641
Arabic,BonaNova-Regular,IBMPlexSansArabic-Regular,0.9359,0.0641
Arabic,BonaNovaSC-Bold,Amiri-Regular,0.9359,0.0641
Arabic,Beiruti[wght],Lalezar-Regular,0.9359,0.0641
