font_file,font_family,script,codepoint_coverage,total_glyphs,expansion_ratio,vertical_footprint,friction_score,friction_contextual_joining,friction_indic_shaping,friction_ligature_heavy,friction_mark_positioning,friction_rtl_layout
LXGWMarkerGothic-Regular.ttf,LXGW Marker Gothic,Katakana,95,15571,1.2947368421052632,1.18,3,True,False,False,True,True
LXGWMarkerGothic-Regular.ttf,LXGW Marker Gothic,Han,13043,15571,1.2999309974699071,1.18,3,True,False,False,True,True
ViaodaLibre-Regular.ttf,Viaoda Libre,Cyrillic,168,899,8.738095238095237,1.411,3,True,False,True,True,False
Lateef-ExtraBold.ttf,Lateef ExtraBold,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-Regular.ttf,Lateef,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-Bold.ttf,Lateef,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-Medium.ttf,Lateef Medium,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-ExtraLight.ttf,Lateef ExtraLight,Arabic,335,1828,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-Light.ttf,Lateef Light,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
Lateef-SemiBold.ttf,Lateef SemiBold,Arabic,335,1830,3.388059701492537,1.44580078125,4,True,False,True,True,True
InterTight-Italic[wght].ttf,Inter Tight,Cyrillic,255,2547,1.4470588235294117,1.2099609375,4,True,False,True,True,True
InterTight[wght].ttf,Inter Tight,Cyrillic,255,2547,1.4470588235294117,1.2099609375,4,True,False,True,True,True
GentiumBookPlus-BoldItalic.ttf,Gentium Book Plus,Cyrillic,268,4307,1.4477611940298507,1.46484375,3,False,False,True,True,True
GentiumBookPlus-Italic.ttf,Gentium Book Plus,Cyrillic,268,4307,1.4477611940298507,1.46484375,3,False,False,True,True,True
GentiumBookPlus-Bold.ttf,Gentium Book Plus,Cyrillic,268,4307,1.4477611940298507,1.46484375,3,False,False,True,True,True
GentiumBookPlus-Regular.ttf,Gentium Book Plus,Cyrillic,268,4307,1.4477611940298507,1.46484375,3,False,False,True,True,True
GeistMono[wght].ttf,Geist Mono,Cyrillic,134,849,1.2985074626865671,1.3,2,False,False,True,True,False
"CairoPlay[slnt,wght].ttf",Cairo Play,Arabic,297,1956,2.037037037037037,1.874,4,True,False,True,True,True
Prata-Regular.ttf,Prata,Cyrillic,182,560,1.89010989010989,1.355,2,False,False,True,True,False
AlegreyaSans-BlackItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Medium.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-ExtraBoldItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-ThinItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-BoldItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Light.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-LightItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Regular.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Black.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Italic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-ExtraBold.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Bold.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-Thin.ttf,Alegreya Sans,Cyrillic,184,2109,5.4021739130434785,1.2,2,False,False,True,True,False
AlegreyaSans-MediumItalic.ttf,Alegreya Sans,Cyrillic,184,2119,5.4021739130434785,1.2,2,False,False,True,True,False
Amiko-Bold.ttf,Amiko,Devanagari,130,918,14.446153846153846,1.334,3,False,True,True,True,False
Amiko-Regular.ttf,Amiko,Devanagari,130,918,14.446153846153846,1.334,3,False,True,True,True,False
