script_pair,count
"('caucasian-albanian', 'latin-ext')",1
"('chakma', 'latin')",1
"('chakma', 'latin-ext')",1
"('cham', 'latin')",1
"('cham', 'latin-ext')",1
"('chorasmian', 'latin')",1
"('chorasmian', 'latin-ext')",1
"('chorasmian', 'math')",1
"('chorasmian', 'symbols')",1
"('coptic', 'latin')",1
"('coptic', 'latin-ext')",1
"('cuneiform', 'latin')",1
"('cuneiform', 'latin-ext')",1
"('cypriot', 'latin')",1
"('cypriot', 'latin-ext')",1
"('cypro-minoan', 'latin')",1
"('cypro-minoan', 'latin-ext')",1
"('deseret', 'latin')",1
"('deseret', 'latin-ext')",1
"('duployan', 'latin')",1
"('duployan', 'latin-ext')",1
"('egyptian-hieroglyphs', 'latin')",1
"('egyptian-hieroglyphs', 'latin-ext')",1
"('elbasan', 'latin')",1
"('elbasan', 'latin-ext')",1
"('elymaic', 'latin')",1
"('elymaic', 'latin-ext')",1
"('georgian', 'math')",1
"('canadian-aboriginal', 'georgian')",1
"('canadian-aboriginal', 'greek')",1
"('canadian-aboriginal', 'greek-ext')",1
"('glagolitic', 'math')",1
"('glagolitic', 'symbols')",1
"('canadian-aboriginal', 'gujarati')",1
"('canadian-aboriginal', 'gurmukhi')",1
"('canadian-aboriginal', 'hebrew')",1
"('hanifi-rohingya', 'latin')",1
"('hanifi-rohingya', 'latin-ext')",1
"('hanunoo', 'latin')",1
"('hanunoo', 'latin-ext')",1
"('hatran', 'latin')",1
"('hatran', 'latin-ext')",1
"('imperial-aramaic', 'latin')",1
"('imperial-aramaic', 'latin-ext')",1
"('indic-siyaq-numbers', 'latin')",1
"('indic-siyaq-numbers', 'latin-ext')",1
"('inscriptional-pahlavi', 'latin')",1
"('inscriptional-pahlavi', 'latin-ext')",1
"('inscriptional-parthian', 'latin')",1
"('inscriptional-parthian', 'latin-ext')",1
"('javanese', 'latin')",1
"('javanese', 'latin-ext')",1
"('kaithi', 'latin')",1
"('kaithi', 'latin-ext')",1
"('kawi', 'latin')",1
"('kawi', 'latin-ext')",1
"('kharoshthi', 'latin')",1
"('kharoshthi', 'latin-ext')",1
"('canadian-aboriginal', 'khmer')",1
"('canadian-aboriginal', 'lao')",1
"('khudawadi', 'latin')",1
"('khudawadi', 'latin-ext')",1
"('latin', 'linear-a')",1
"('latin-ext', 'linear-a')",1
"('latin', 'linear-b')",1
"('latin-ext', 'linear-b')",1
"('latin', 'lydian')",1
"('latin-ext', 'lydian')",1
"('latin', 'mahajani')",1
"('latin-ext', 'mahajani')",1
"('latin', 'mandaic')",1
"('latin-ext', 'mandaic')",1
"('canadian-aboriginal', 'malayalam')",1
"('latin-ext', 'manichaean')",1
"('latin', 'marchen')",1
"('latin-ext', 'marchen')",1
"('latin', 'masaram-gondi')",1
"('latin-ext', 'masaram-gondi')",1
"('canadian-aboriginal', 'oriya')",1
"('canadian-aboriginal', 'sinhala')",1
"('latin', 'medefaidrin')",1
"('latin-ext', 'medefaidrin')",1
"('latin', 'meetei-mayek')",1
"('latin-ext', 'meetei-mayek')",1
"('latin', 'mende-kikakui')",1
"('latin-ext', 'mende-kikakui')",1
"('latin', 'meroitic')",1
"('latin', 'meroitic-cursive')",1
"('latin', 'meroitic-hieroglyphs')",1
"('latin-ext', 'meroitic')",1
"('latin-ext', 'meroitic-cursive')",1
"('latin-ext', 'meroitic-hieroglyphs')",1
"('meroitic', 'meroitic-cursive')",1
"('meroitic', 'meroitic-hieroglyphs')",1
"('meroitic-cursive', 'meroitic-hieroglyphs')",1
"('latin', 'miao')",1
"('latin-ext', 'miao')",1
"('latin', 'modi')",1
"('latin-ext', 'modi')",1
"('latin', 'mongolian')",1
"('latin-ext', 'mongolian')",1
"('math', 'mongolian')",1
"('mongolian', 'symbols')",1
"('latin', 'mro')",1
"('latin-ext', 'mro')",1
"('latin', 'multani')",1
"('latin-ext', 'multani')",1
"('canadian-aboriginal', 'tamil')",1
"('canadian-aboriginal', 'telugu')",1
"('canadian-aboriginal', 'thai')",1
"('cyrillic', 'ethiopic')",1
"('latin', 'nabataean')",1
"('latin-ext', 'nabataean')",1
"('latin', 'nag-mundari')",1
"('latin-ext', 'nag-mundari')",1
"('latin', 'nandinagari')",1
"('latin-ext', 'nandinagari')",1
"('latin', 'newa')",1
"('latin-ext', 'newa')",1
"('latin', 'ogham')",1
"('latin-ext', 'ogham')",1
"('latin', 'ol-chiki')",1
"('latin-ext', 'ol-chiki')",1
"('latin', 'old-hungarian')",1
"('latin-ext', 'old-hungarian')",1
"('latin', 'old-north-arabian')",1
"('latin-ext', 'old-north-arabian')",1
"('cyrillic-ext', 'old-permic')",1
"('latin', 'old-persian')",1
"('latin-ext', 'old-persian')",1
"('latin', 'old-sogdian')",1
"('latin-ext', 'old-sogdian')",1
"('latin', 'old-south-arabian')",1
"('latin-ext', 'old-south-arabian')",1
"('latin', 'old-turkic')",1
"('latin-ext', 'old-turkic')",1
"('latin', 'osage')",1
"('latin-ext', 'osage')",1
"('latin', 'osmanya')",1
"('latin-ext', 'osmanya')",1
"('latin', 'pahawh-hmong')",1
"('latin-ext', 'pahawh-hmong')",1
"('latin', 'palmyrene')",1
"('latin-ext', 'palmyrene')",1
"('latin', 'pau-cin-hau')",1
"('latin-ext', 'pau-cin-hau')",1
"('latin', 'phags-pa')",1
"('latin-ext', 'phags-pa')",1
"('math', 'phags-pa')",1
"('phags-pa', 'symbols')",1
"('cyrillic', 'georgian')",1
"('cyrillic', 'gujarati')",1
"('latin', 'psalter-pahlavi')",1
"('latin-ext', 'psalter-pahlavi')",1
"('latin', 'rejang')",1
"('latin-ext', 'rejang')",1
"('cyrillic', 'gurmukhi')",1
"('cyrillic', 'khmer')",1
"('cyrillic', 'lao')",1
"('latin', 'samaritan')",1
"('latin-ext', 'samaritan')",1
"('latin', 'saurashtra')",1
"('latin-ext', 'saurashtra')",1
"('latin', 'sharada')",1
"('latin-ext', 'sharada')",1
"('latin', 'shavian')",1
"('latin-ext', 'shavian')",1
"('latin', 'siddham')",1
"('latin-ext', 'siddham')",1
"('latin', 'manichaean')",1
"('latin-ext', 'signwriting')",1
"('latin', 'sogdian')",1
"('latin-ext', 'sogdian')",1
"('latin', 'sora-sompeng')",1
"('latin-ext', 'sora-sompeng')",1
"('latin', 'soyombo')",1
"('latin-ext', 'soyombo')",1
"('latin', 'sundanese')",1
"('latin-ext', 'sundanese')",1
"('latin', 'sunuwar')",1
"('latin-ext', 'sunuwar')",1
"('latin', 'syloti-nagri')",1
"('latin-ext', 'syloti-nagri')",1
"('braille', 'mayan-numerals')",1
"('math', 'mayan-numerals')",1
"('mayan-numerals', 'symbols')",1
"('latin', 'tagalog')",1
"('latin-ext', 'tagalog')",1
"('latin', 'tagbanwa')",1
"('latin-ext', 'tagbanwa')",1
"('latin', 'tai-le')",1
"('latin-ext', 'tai-le')",1
"('latin', 'tai-tham')",1
"('latin-ext', 'tai-tham')",1
"('cyrillic', 'malayalam')",1
"('cyrillic', 'oriya')",1
"('latin', 'takri')",1
"('latin-ext', 'takri')",1
"('latin', 'tamil-supplement')",1
"('latin-ext', 'tamil-supplement')",1
"('latin', 'tangsa')",1
"('latin-ext', 'tangsa')",1
"('latin', 'thaana')",1
"('latin-ext', 'thaana')",1
"('latin', 'tirhuta')",1
"('latin-ext', 'tirhuta')",1
"('latin', 'ugaritic')",1
"('latin-ext', 'ugaritic')",1
"('latin', 'vai')",1
"('latin-ext', 'vai')",1
"('cyrillic', 'sinhala')",1
"('cyrillic', 'telugu')",1
"('latin', 'wancho')",1
"('latin-ext', 'wancho')",1
"('latin', 'warang-citi')",1
"('latin-ext', 'warang-citi')",1
"('cyrillic-ext', 'gujarati')",1
"('cyrillic-ext', 'gurmukhi')",1
"('latin', 'zanabazar-square')",1
"('latin-ext', 'zanabazar-square')",1
"('ahom', 'latin')",1
"('ahom', 'latin-ext')",1
"('dives-akuru', 'latin')",1
"('dives-akuru', 'latin-ext')",1
"('dogra', 'latin')",1
"('dogra', 'latin-ext')",1
"('kana-extended', 'latin')",1
"('kana-extended', 'latin-ext')",1
"('khitan-small-script', 'latin')",1
"('khitan-small-script', 'latin-ext')",1
"('latin', 'makasar')",1
"('latin-ext', 'makasar')",1
"('latin', 'nyiakeng-puachue-hmong')",1
"('latin', 'old-uyghur')",1
"('latin-ext', 'old-uyghur')",1
"('cyrillic-ext', 'khmer')",1
"('latin-ext', 'ottoman-siyaq-numbers')",1
"('latin', 'tangut')",1
"('latin-ext', 'tangut')",1
"('latin-ext', 'tibetan')",1
"('latin', 'todhri')",1
"('latin-ext', 'todhri')",1
"('latin', 'toto')",1
"('latin-ext', 'toto')",1
"('latin', 'yezidi')",1
"('latin-ext', 'yezidi')",1
"('latin', 'znamenny')",1
"('latin-ext', 'znamenny')",1
"('math', 'znamenny')",1
"('symbols', 'znamenny')",1
"('emoji', 'greek')",1
"('cyrillic-ext', 'lao')",1
"('cyrillic-ext', 'malayalam')",1
"('arabic', 'emoji')",1
"('devanagari', 'emoji')",1
"('emoji', 'hebrew')",1
